meal_type,taste_profile,served_temperature,season,difficulty,main_ingredients,characteristics,semantic_summary,recipe_id,recipe_name
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apple', 'flour', 'butter', 'eggs', 'sugar']","['muffin', 'strudel']","Apple Strudel Muffins is a sweet dessert made with apple, flour, butter, eggs, and sugar. It involves mixing ingredients, baking in a muffin pan, and topping with a crumbly mixture.",28,Apple Strudel Muffins
dessert,"['sweet', 'spicy']",warm,['autumn'],easy,"['apples', 'cinnamon', 'brown sugar', 'vanilla sugar', 'nutmeg']","['layered', 'baked']","This recipe involves baking sliced apples with a cinnamon and sugar mixture, resulting in a warm and sweet dessert.",29,Delicious Cinnamon Baked Apples
appetizer,"['savory', 'sweet']",cold,['all_seasons'],easy,"['mayonnaise', 'apples', 'celery', 'walnuts', 'raisins']","['classic', 'refreshing']","Waldorf Salad is a classic cold appetizer with a sweet and savory flavor profile, made from mayonnaise, apples, celery, walnuts, and raisins.",30,Waldorf Salad
dessert,['sweet'],warm,['all_seasons'],medium,"['Granny Smith apples', 'Macintosh apples', 'puff pastry', 'cranberries']","['crostada', 'apple-cranberry filling']","This recipe describes a dessert crostada made with a sweet apple-cranberry filling, baked with puff pastry and served warm.",31,Apple-Cranberry Crostada
dessert,['sweet'],warm,['autumn'],medium,"['Granny Smith apples', 'unsalted butter', 'all-purpose flour', 'white sugar', 'packed brown sugar', 'water', 'pie pastry']","['thick crust', 'apple filling', 'lattice crust']","This recipe describes a traditional autumn apple pie made with a lattice crust, featuring sweet flavors and baked at a warm temperature.",32,Apple Pie by Grandma Ople
dessert,['sweet'],warm,['autumn'],easy,"['apples', 'water', 'sugar', 'cinnamon']",[],"Sarah's Homemade Applesauce is a sweet dessert made from apples, water, sugar, and cinnamon, cooked until soft and mashed for a desired consistency.",33,Sarah's Homemade Applesauce
dessert,['sweet'],warm,['all_seasons'],easy,"['apples', 'oats', 'flour', 'sugar', 'cinnamon', 'water', 'butter']","['crisp topping', 'oven baked']","This dessert recipe involves baking sliced apples with a sweet and spiced topping made from oats, flour, sugar, and spices, then topped with a buttery crust and baked until golden brown.",34,Apple Crisp
dessert,['sweet'],cold,['all_seasons'],easy,"['apples', 'sugar', 'cornstarch']","['thickened', 'frozen']","This recipe describes a simple dessert made from thinly sliced apples, sugar, and cornstarch, which is prepared as a filling for apple pie and then frozen.",35,Apple Pie Filling
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apples', 'oats', 'brown sugar', 'white sugar', 'cinnamon', 'flour', 'butter']","['crisp topping', 'oven baked']","An easy apple crisp dessert with an oat topping, baked in the oven.",36,Easy Apple Crisp with Oat Topping
dessert,['sweet'],warm,['autumn'],easy,"['apple cider', 'cinnamon', 'allspice', 'cloves', 'brown sugar']","['slow_cooked', 'wrapped_in_cheesecloth']","An easy autumn dessert made with apple cider, spices, and brown sugar, cooked slowly in a cheesecloth-wrapped bundle.",37,Easy Apple Cider
dessert,['sweet'],room_temperature,['autumn'],easy,"['Granny Smith apples', 'cranberries', 'oats', 'flour', 'brown sugar', 'cinnamon', 'nutmeg', 'pecans', 'butter']","['crisp topping', 'mixed fruit filling']","This dessert recipe features a mixture of apple and cranberry slices baked with a crunchy oat topping, perfect for autumn.",38,Apple-Cranberry Crisp
dessert,['sweet'],hot,['autumn'],medium,"['pastry', 'apple', 'butter', 'brown sugar', 'cinnamon', 'nutmeg', 'water', 'white sugar']","['cooking_with_apples', 'baking']","An autumn dessert featuring baked apple dumplings with a sweet, spiced filling and a sugary sauce.",39,Old-Fashioned Apple Dumplings
dessert,['sweet'],warm,['autumn'],easy,"['apples', 'butter', 'sugar', 'cinnamon']",[],"Southern Fried Apples is a warm dessert made with apples, butter, sugar, and cinnamon, typically enjoyed during autumn.",40,Southern Fried Apples
dessert,['sweet'],warm,['all_seasons'],medium,"['Granny Smith apples', 'puff pastry', 'brown sugar']","['flaky', 'crispy', 'tender']","Apple Turnovers are a warm dessert made with puff pastry filled with sweet apple slices, brown sugar, and spices, baked until golden and served with a simple glaze.",41,Apple Turnovers
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apples', 'flour', 'sugar', 'cinnamon', 'salt', 'butter']","['crisp topping', 'homemade']","This easy dessert recipe involves slicing apples, combining them with a sweet and spiced topping made from flour, sugar, cinnamon, and salt, and baked until golden brown.",42,Apple Crisp - Perfect and Easy
dessert,['sweet'],hot,['autumn'],medium,"['caramel', 'apples']","['coating with caramel', 'handle made of wood']","A dessert recipe featuring caramel-coated apples with wooden handles, typically enjoyed during autumn.",43,The Best Caramel Apples
soup,"['savory', 'spicy']",hot,['all_seasons'],easy,"['chicken', 'onion', 'carrot', 'celery', 'rice', 'apple', 'curry powder', 'chicken broth', 'thyme', 'heavy cream']","['contains meat', 'contains vegetables', 'contains grains']","Mulligatawny Soup is a warm, savory, and spicy soup made with chicken, vegetables, rice, and spices. It is prepared with a base of chicken broth and includes elements like curry powder and thyme.",44,Mulligatawny Soup
appetizer,['sweet'],warm,['autumn'],easy,"['apples', 'butter', 'brown sugar', 'cinnamon']",['sauteed'],"This recipe involves sautéing apples with butter, brown sugar, and cinnamon, resulting in a sweet and warm appetizer.",45,Sauteed Apples
drink,['sweet'],warm,['autumn'],easy,"['apple', 'water', 'sugar', 'cinnamon', 'allspice']",[],"This recipe describes the process of making homemade apple cider, which is a warm drink that is sweet and typically enjoyed during autumn.",46,Homemade Apple Cider
dessert,['sweet'],warm,['autumn'],medium,"['canned apple pie filling', 'apples']","['canned', 'homemade filling']","This recipe describes a canned apple pie filling, which is typically served warm as part of a dessert course during autumn. The process involves mixing a homemade filling with various ingredients, sterilizing jars, packing apples into jars, and processing them in a water bath canner.",47,Canned Apple Pie Filling
dessert,['sweet'],"['warm', 'cold']",['all_seasons'],easy,"['pastry', 'apples', 'sugar', 'cinnamon', 'butter']",[],"This easy apple pie recipe involves a 9-inch double-crust pie filled with thinly sliced apples, cinnamon-sugar mixture, and butter. It is baked at different temperatures to achieve a golden brown and bubbly filling.",48,Easy Apple Pie
dessert,['sweet'],warm,['all_seasons'],easy,"['apples', 'pie shell', 'raisins', 'walnuts']","['crumbly topping', 'spices']","Apple Crumb Pie is a warm dessert made with sliced apples, a crumbly topping, and spices, typically enjoyed throughout the year.",49,Apple Crumb Pie
dessert,['sweet'],room_temperature,['autumn'],easy,"['apples', 'caramels']",['quickly rolled in caramel sauce'],"Caramelized apples made with apples, caramels, and craft sticks, served as a dessert.",50,Caramel Apples
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apple', 'flour', 'cinnamon', 'sugar', 'vanilla_extract', 'vegetable_oil', 'eggs']",[],"German Apple Cake is a simple dessert made with apples, flour, spices, and sweeteners, baked at room temperature.",51,German Apple Cake
dinner,['savory'],warm,['all_seasons'],medium,"['ground turkey sausage', 'white bread', 'whole wheat bread', 'onion', 'celery', 'sage', 'rosemary', 'thyme', 'apple', 'cranberries', 'parsley', 'cooked turkey liver', 'turkey stock', 'unsalted butter']","['toasted bread cubes', 'sausage and onion mixture', 'mixed with apples and cranberries', 'finely chopped liver']","This savory dinner recipe involves toasting bread cubes, cooking a sausage and onion mixture, and combining it with apples, cranberries, and finely chopped cooked turkey liver. The dish is seasoned with herbs and mixed with turkey stock and melted butter before being served warm.",52,"Awesome Sausage, Apple and Cranberry Stuffing"
dessert,['sweet'],warm,['all_seasons'],easy,"['apple', 'pie dough']","['hand pies', 'baked']","This recipe describes how to make Apple Hand Pies, a warm dessert that combines sweet apples baked within a flaky pie crust. The dish is simple to prepare and can be enjoyed year-round.",53,Apple Hand Pies
dessert,"['sweet', 'spicy']",warm,['autumn'],medium,"['apples', 'unsweetened apple juice', 'white sugar', 'apple cider vinegar', 'cinnamon', 'cloves', 'allspice']","['fermentation', 'canning']","This recipe describes the process of making apple butter, a warm, sweet, and sometimes spicy dessert spread, typically made during autumn. The dish involves a combination of apples, various spices, and apple juice, which are cooked down to create a thick, flavorful spread that is then canned for storage.",54,Amazing Apple Butter
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apple', 'muffin', 'flour', 'sugar', 'cinnamon', 'eggs', 'oil', 'milk']","['cinnamon', 'chopped_apples']","This easy apple cinnamon muffin recipe involves mixing dry ingredients, adding wet ingredients and chopped apples, baking them in muffin tins, and topping with a simple sugar and butter mixture before baking.",55,Easy Apple Cinnamon Muffins
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apples', 'flour', 'sugar', 'eggs', 'oil', 'vanilla_extract']",['bread'],"Debbie's Amazing Apple Bread is a simple, sweet dessert bread made from apples, flour, sugar, eggs, oil, and vanilla extract.",56,Debbie's Amazing Apple Bread
dessert,['sweet'],warm,['all_seasons'],easy,"['apple', 'flour', 'milk', 'eggs', 'oil', 'cinnamon']","['deep-fried', 'coated with cinnamon sugar']","This recipe describes Mom's Apple Fritters, a sweet dessert made by deep-frying apple pieces in a batter that includes flour, milk, eggs, and oil. The fritters are then coated with cinnamon sugar before serving.",57,Mom's Apple Fritters
dessert,['sweet'],warm,['autumn'],easy,"['apple pie filling', 'margarine', 'brown sugar', 'flour']","['crisp topping', 'bubbly filling']","An easy autumn dessert featuring apple pie filling, margarine, brown sugar, and flour, baked in an 8x8-inch dish with a crispy topping.",58,Easy Apple Crisp with Pie Filling
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apple', 'flour', 'butter', 'eggs', 'sugar']","['muffin', 'strudel']","Apple Strudel Muffins is a sweet dessert made with apple, flour, butter, eggs, and sugar. It involves mixing ingredients, baking in a muffin pan, and topping with a crumbly mixture.",59,Apple Strudel Muffins
dessert,"['sweet', 'spicy']",warm,['autumn'],easy,"['apples', 'cinnamon', 'brown sugar', 'vanilla sugar', 'nutmeg']","['layered', 'baked']","This recipe involves baking sliced apples with a cinnamon and sugar mixture, resulting in a warm and sweet dessert.",60,Delicious Cinnamon Baked Apples
appetizer,"['savory', 'sweet']",cold,['all_seasons'],easy,"['mayonnaise', 'apples', 'celery', 'walnuts', 'raisins']","['classic', 'refreshing']","Waldorf Salad is a classic cold appetizer with a sweet and savory flavor profile, made from mayonnaise, apples, celery, walnuts, and raisins.",61,Waldorf Salad
dessert,['sweet'],warm,['all_seasons'],medium,"['Granny Smith apples', 'Macintosh apples', 'puff pastry', 'cranberries']","['crostada', 'apple-cranberry filling']","This recipe describes a dessert crostada made with a sweet apple-cranberry filling, baked with puff pastry and served warm.",62,Apple-Cranberry Crostada
dessert,['sweet'],warm,['autumn'],medium,"['Granny Smith apples', 'unsalted butter', 'all-purpose flour', 'white sugar', 'packed brown sugar', 'water', 'pie pastry']","['thick crust', 'apple filling', 'lattice crust']","This recipe describes a traditional autumn apple pie made with a lattice crust, featuring sweet flavors and baked at a warm temperature.",63,Apple Pie by Grandma Ople
dessert,['sweet'],warm,['autumn'],easy,"['apples', 'water', 'sugar', 'cinnamon']",[],"Sarah's Homemade Applesauce is a sweet dessert made from apples, water, sugar, and cinnamon, cooked until soft and mashed for a desired consistency.",64,Sarah's Homemade Applesauce
dessert,['sweet'],warm,['all_seasons'],easy,"['apples', 'oats', 'flour', 'sugar', 'cinnamon', 'water', 'butter']","['crisp topping', 'oven baked']","This dessert recipe involves baking sliced apples with a sweet and spiced topping made from oats, flour, sugar, and spices, then topped with a buttery crust and baked until golden brown.",65,Apple Crisp
dessert,['sweet'],cold,['all_seasons'],easy,"['apples', 'sugar', 'cornstarch']","['thickened', 'frozen']","This recipe describes a simple dessert made from thinly sliced apples, sugar, and cornstarch, which is prepared as a filling for apple pie and then frozen.",66,Apple Pie Filling
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apples', 'oats', 'brown sugar', 'white sugar', 'cinnamon', 'flour', 'butter']","['crisp topping', 'oven baked']","An easy apple crisp dessert with an oat topping, baked in the oven.",67,Easy Apple Crisp with Oat Topping
dessert,['sweet'],warm,['autumn'],easy,"['apple cider', 'cinnamon', 'allspice', 'cloves', 'brown sugar']","['slow_cooked', 'wrapped_in_cheesecloth']","An easy autumn dessert made with apple cider, spices, and brown sugar, cooked slowly in a cheesecloth-wrapped bundle.",68,Easy Apple Cider
dessert,['sweet'],room_temperature,['autumn'],easy,"['Granny Smith apples', 'cranberries', 'oats', 'flour', 'brown sugar', 'cinnamon', 'nutmeg', 'pecans', 'butter']","['crisp topping', 'mixed fruit filling']","This dessert recipe features a mixture of apple and cranberry slices baked with a crunchy oat topping, perfect for autumn.",69,Apple-Cranberry Crisp
dessert,['sweet'],hot,['autumn'],medium,"['pastry', 'apple', 'butter', 'brown sugar', 'cinnamon', 'nutmeg', 'water', 'white sugar']","['cooking_with_apples', 'baking']","An autumn dessert featuring baked apple dumplings with a sweet, spiced filling and a sugary sauce.",70,Old-Fashioned Apple Dumplings
dessert,['sweet'],warm,['autumn'],easy,"['apples', 'butter', 'sugar', 'cinnamon']",[],"Southern Fried Apples is a warm dessert made with apples, butter, sugar, and cinnamon, typically enjoyed during autumn.",71,Southern Fried Apples
dessert,['sweet'],warm,['all_seasons'],medium,"['Granny Smith apples', 'puff pastry', 'brown sugar']","['flaky', 'crispy', 'tender']","Apple Turnovers are a warm dessert made with puff pastry filled with sweet apple slices, brown sugar, and spices, baked until golden and served with a simple glaze.",72,Apple Turnovers
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apples', 'flour', 'sugar', 'cinnamon', 'salt', 'butter']","['crisp topping', 'homemade']","This easy dessert recipe involves slicing apples, combining them with a sweet and spiced topping made from flour, sugar, cinnamon, and salt, and baked until golden brown.",73,Apple Crisp - Perfect and Easy
dessert,['sweet'],hot,['autumn'],medium,"['caramel', 'apples']","['coating with caramel', 'handle made of wood']","A dessert recipe featuring caramel-coated apples with wooden handles, typically enjoyed during autumn.",74,The Best Caramel Apples
soup,"['savory', 'spicy']",hot,['all_seasons'],easy,"['chicken', 'onion', 'carrot', 'celery', 'rice', 'apple', 'curry powder', 'chicken broth', 'thyme', 'heavy cream']","['contains meat', 'contains vegetables', 'contains grains']","Mulligatawny Soup is a warm, savory, and spicy soup made with chicken, vegetables, rice, and spices. It is prepared with a base of chicken broth and includes elements like curry powder and thyme.",75,Mulligatawny Soup
appetizer,['sweet'],warm,['autumn'],easy,"['apples', 'butter', 'brown sugar', 'cinnamon']",['sauteed'],"This recipe involves sautéing apples with butter, brown sugar, and cinnamon, resulting in a sweet and warm appetizer.",76,Sauteed Apples
drink,['sweet'],warm,['autumn'],easy,"['apple', 'water', 'sugar', 'cinnamon', 'allspice']",[],"This recipe describes the process of making homemade apple cider, which is a warm drink that is sweet and typically enjoyed during autumn.",77,Homemade Apple Cider
dessert,['sweet'],warm,['autumn'],medium,"['canned apple pie filling', 'apples']","['canned', 'homemade filling']","This recipe describes a canned apple pie filling, which is typically served warm as part of a dessert course during autumn. The process involves mixing a homemade filling with various ingredients, sterilizing jars, packing apples into jars, and processing them in a water bath canner.",78,Canned Apple Pie Filling
dessert,['sweet'],"['warm', 'cold']",['all_seasons'],easy,"['pastry', 'apples', 'sugar', 'cinnamon', 'butter']",[],"This easy apple pie recipe involves a 9-inch double-crust pie filled with thinly sliced apples, cinnamon-sugar mixture, and butter. It is baked at different temperatures to achieve a golden brown and bubbly filling.",79,Easy Apple Pie
dessert,['sweet'],warm,['all_seasons'],easy,"['apples', 'pie shell', 'raisins', 'walnuts']","['crumbly topping', 'spices']","Apple Crumb Pie is a warm dessert made with sliced apples, a crumbly topping, and spices, typically enjoyed throughout the year.",80,Apple Crumb Pie
dessert,['sweet'],room_temperature,['autumn'],easy,"['apples', 'caramels']",['quickly rolled in caramel sauce'],"Caramelized apples made with apples, caramels, and craft sticks, served as a dessert.",81,Caramel Apples
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apple', 'flour', 'cinnamon', 'sugar', 'vanilla_extract', 'vegetable_oil', 'eggs']",[],"German Apple Cake is a simple dessert made with apples, flour, spices, and sweeteners, baked at room temperature.",82,German Apple Cake
dinner,['savory'],warm,['all_seasons'],medium,"['ground turkey sausage', 'white bread', 'whole wheat bread', 'onion', 'celery', 'sage', 'rosemary', 'thyme', 'apple', 'cranberries', 'parsley', 'cooked turkey liver', 'turkey stock', 'unsalted butter']","['toasted bread cubes', 'sausage and onion mixture', 'mixed with apples and cranberries', 'finely chopped liver']","This savory dinner recipe involves toasting bread cubes, cooking a sausage and onion mixture, and combining it with apples, cranberries, and finely chopped cooked turkey liver. The dish is seasoned with herbs and mixed with turkey stock and melted butter before being served warm.",83,"Awesome Sausage, Apple and Cranberry Stuffing"
dessert,['sweet'],warm,['all_seasons'],easy,"['apple', 'pie dough']","['hand pies', 'baked']","This recipe describes how to make Apple Hand Pies, a warm dessert that combines sweet apples baked within a flaky pie crust. The dish is simple to prepare and can be enjoyed year-round.",84,Apple Hand Pies
dessert,"['sweet', 'spicy']",warm,['autumn'],medium,"['apples', 'unsweetened apple juice', 'white sugar', 'apple cider vinegar', 'cinnamon', 'cloves', 'allspice']","['fermentation', 'canning']","This recipe describes the process of making apple butter, a warm, sweet, and sometimes spicy dessert spread, typically made during autumn. The dish involves a combination of apples, various spices, and apple juice, which are cooked down to create a thick, flavorful spread that is then canned for storage.",85,Amazing Apple Butter
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apple', 'muffin', 'flour', 'sugar', 'cinnamon', 'eggs', 'oil', 'milk']","['cinnamon', 'chopped_apples']","This easy apple cinnamon muffin recipe involves mixing dry ingredients, adding wet ingredients and chopped apples, baking them in muffin tins, and topping with a simple sugar and butter mixture before baking.",86,Easy Apple Cinnamon Muffins
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apples', 'flour', 'sugar', 'eggs', 'oil', 'vanilla_extract']",['bread'],"Debbie's Amazing Apple Bread is a simple, sweet dessert bread made from apples, flour, sugar, eggs, oil, and vanilla extract.",87,Debbie's Amazing Apple Bread
dessert,['sweet'],warm,['all_seasons'],easy,"['apple', 'flour', 'milk', 'eggs', 'oil', 'cinnamon']","['deep-fried', 'coated with cinnamon sugar']","This recipe describes Mom's Apple Fritters, a sweet dessert made by deep-frying apple pieces in a batter that includes flour, milk, eggs, and oil. The fritters are then coated with cinnamon sugar before serving.",88,Mom's Apple Fritters
dessert,['sweet'],warm,['autumn'],easy,"['apple pie filling', 'margarine', 'brown sugar', 'flour']","['crisp topping', 'bubbly filling']","An easy autumn dessert featuring apple pie filling, margarine, brown sugar, and flour, baked in an 8x8-inch dish with a crispy topping.",89,Easy Apple Crisp with Pie Filling
dessert,['sweet'],room_temperature,['all_seasons'],easy,"['apple', 'flour', 'butter', 'eggs', 'sugar']","['muffin', 'strudel']","Apple Strudel Muffins is a sweet dessert made with apple, flour, butter, eggs, and sugar. It involves mixing ingredients, baking in a muffin pan, and topping with a crumbly mixture.",90,Apple Strudel Muffins
dessert,"['sweet', 'spicy']",warm,['autumn'],easy,"['apples', 'cinnamon', 'brown sugar', 'vanilla sugar', 'nutmeg']","['layered', 'baked']","This recipe involves baking sliced apples with a cinnamon and sugar mixture, resulting in a warm and sweet dessert.",91,Delicious Cinnamon Baked Apples
appetizer,"['savory', 'sweet']",cold,['all_seasons'],easy,"['mayonnaise', 'apples', 'celery', 'walnuts', 'raisins']","['classic', 'refreshing']","Waldorf Salad is a classic cold appetizer with a sweet and savory flavor profile, made from mayonnaise, apples, celery, walnuts, and raisins.",92,Waldorf Salad
